"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex_01","",""
"","10046","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex","",""
"","0","test_01_login_success[13800001001--\u7528\u6237\u540d\u6216\u5bc6\u7801\u4e0d\u80fd\u4e3a\u7a7a]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex_01","",""
"","4828","test_02_register_fail_phone_error","script","2026-05-31","passed","2026-05-31","TestLogin","test_02_register","",""
"","0","test_02_login_fail_pwd_error","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_01","",""
"","10042","test_01_login_success[13800701001-Aa123456-\u7528\u6237\u4e0d\u5b58\u5728]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex","",""
"","10046","test_02_login_fail_pwd_error","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login","",""
"","4938","test_01_register_success","script","2026-05-31","passed","2026-05-31","TestLogin","test_02_register","",""
"","0","test_01_login_success","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_01","",""
"","0","test_01_login_success[13800001001-Aa123456-13800001001]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex_01","",""
"","0","test_01_open_account_success","script","2026-05-31","broken","2026-05-31","TestOpenAccount","test_03_open_account","",""
"","0","test_01_credit_application_success","script","2026-05-31","broken","2026-05-31","TestCreditApplication","test_04_credit_application","",""
"","0","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex_01","",""
"","10048","test_01_login_success[13800001001-123456-\u5bc6\u7801\u9519\u8bef]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex","",""
"","0","test_01_credit_review_success","script","2026-05-31","broken","2026-05-31","TestCreditReview","test_06_credit_review","",""
"","10045","test_01_login_success[13800001001-Aa123456-13800001001]","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login_ex","",""
"","0","test_01_open_account_success","script","2026-05-31","broken","2026-05-31","TestOpenAccount","test_03_open_account_01","",""
"测试后台登录成功","10273","test_01_back_login_success","script","2026-05-31","broken","2026-05-31","TestBackLogin","test_05_back_login","",""
"","10061","test_01_login_success","script","2026-05-31","broken","2026-05-31","TestLogin","test_01_login","",""
